,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
467000,2015,1,31,6,AA,2258,N4YEAA,MCO,DFW,1635,1627.0,-8.0,13.0,1640.0,185.0,184.0,152.0,985,1812.0,19.0,1840,1831.0,-9.0,0,0,,,,,,
468000,2015,1,31,6,VX,918,N837VA,SFO,LAS,1800,1800.0,0.0,10.0,1810.0,90.0,91.0,66.0,414,1916.0,15.0,1930,1931.0,1.0,0,0,,,,,,
469000,2015,1,31,6,DL,1359,N325US,MSP,BOS,1945,1945.0,0.0,17.0,2002.0,163.0,143.0,120.0,1124,2302.0,6.0,2328,2308.0,-20.0,0,0,,,,,,
470000,2015,2,1,7,AS,114,N614AS,ANC,SEA,215,203.0,-12.0,15.0,218.0,200.0,198.0,178.0,1448,616.0,5.0,635,621.0,-14.0,0,0,,,,,,
471000,2015,2,1,7,UA,1428,N17244,IAD,DEN,706,659.0,-7.0,13.0,712.0,242.0,242.0,219.0,1452,851.0,10.0,908,901.0,-7.0,0,0,,,,,,
472000,2015,2,1,7,DL,1245,N333NB,MSO,MSP,830,822.0,-8.0,10.0,832.0,164.0,139.0,124.0,1013,1136.0,5.0,1214,1141.0,-33.0,0,0,,,,,,
473000,2015,2,1,7,DL,2543,N339NW,DCA,DTW,940,937.0,-3.0,10.0,947.0,102.0,91.0,72.0,405,1059.0,9.0,1122,1108.0,-14.0,0,0,,,,,,
474000,2015,2,1,7,OO,6452,N956SW,LAX,SAN,1047,1112.0,25.0,28.0,1140.0,55.0,63.0,31.0,109,1211.0,4.0,1142,1215.0,33.0,0,0,,8.0,0.0,25.0,0.0,0.0
475000,2015,2,1,7,DL,282,N951DN,SEA,DTW,1150,1223.0,33.0,12.0,1235.0,252.0,263.0,239.0,1927,1934.0,12.0,1902,1946.0,44.0,0,0,,11.0,0.0,33.0,0.0,0.0
476000,2015,2,1,7,OO,6273,N925SW,SFO,SLC,1255,1249.0,-6.0,53.0,1342.0,109.0,142.0,81.0,599,1603.0,8.0,1544,1611.0,27.0,0,0,,27.0,0.0,0.0,0.0,0.0
477000,2015,2,1,7,EV,4113,N13969,IND,EWR,1359,1355.0,-4.0,24.0,1419.0,120.0,121.0,87.0,645,1546.0,10.0,1559,1556.0,-3.0,0,0,,,,,,
478000,2015,2,1,7,NK,906,N618NK,DEN,IAH,1505,1517.0,12.0,17.0,1534.0,139.0,137.0,112.0,862,1826.0,8.0,1824,1834.0,10.0,0,0,,,,,,
479000,2015,2,1,7,EV,6110,N18101,ORD,GRR,1614,,,,,55.0,,,137,,,1809,,,0,1,C,,,,,
480000,2015,2,1,7,WN,1883,N615SW,PIT,MCO,1720,1712.0,-8.0,9.0,1721.0,150.0,144.0,120.0,834,1921.0,15.0,1950,1936.0,-14.0,0,0,,,,,,
481000,2015,2,1,7,AA,75,N3EEAA,IAD,LAX,1830,1823.0,-7.0,13.0,1836.0,356.0,333.0,310.0,2288,2046.0,10.0,2126,2056.0,-30.0,0,0,,,,,,
482000,2015,2,1,7,EV,4667,N12201,MSP,EWR,1945,,,,,165.0,,,1008,,,2330,,,0,1,C,,,,,
483000,2015,2,1,7,AS,608,N409AS,SEA,LAS,2135,2131.0,-4.0,21.0,2152.0,135.0,135.0,109.0,867,2341.0,5.0,2350,2346.0,-4.0,0,0,,,,,,
484000,2015,2,2,1,AA,398,N3BKAA,ORD,LGA,602,,,,,118.0,,,733,,,900,,,0,1,B,,,,,
485000,2015,2,2,1,WN,4027,N392SW,MSY,TPA,700,657.0,-3.0,10.0,707.0,85.0,79.0,65.0,488,912.0,4.0,925,916.0,-9.0,0,0,,,,,,
486000,2015,2,2,1,WN,2291,N7733B,OAK,LAX,800,759.0,-1.0,6.0,805.0,75.0,64.0,52.0,337,857.0,6.0,915,903.0,-12.0,0,0,,,,,,
487000,2015,2,2,1,F9,429,N926FR,ATL,DEN,859,938.0,39.0,19.0,957.0,207.0,215.0,187.0,1199,1104.0,9.0,1026,1113.0,47.0,0,0,,35.0,0.0,0.0,12.0,0.0
488000,2015,2,2,1,AA,255,N793AA,JFK,LAX,1000,1131.0,91.0,34.0,1205.0,390.0,375.0,332.0,2475,1437.0,9.0,1330,1446.0,76.0,0,0,,0.0,0.0,76.0,0.0,0.0
489000,2015,2,2,1,UA,1469,N68805,SFO,PHX,1057,1053.0,-4.0,16.0,1109.0,119.0,123.0,98.0,651,1347.0,9.0,1356,1356.0,0.0,0,0,,,,,,
490000,2015,2,2,1,DL,1329,N951DN,TPA,MSP,1155,1317.0,82.0,19.0,1336.0,211.0,213.0,189.0,1306,1545.0,5.0,1426,1550.0,84.0,0,0,,2.0,0.0,0.0,82.0,0.0
491000,2015,2,2,1,OO,5216,N754SK,IAH,GRR,1257,1254.0,-3.0,17.0,1311.0,153.0,148.0,127.0,1042,1618.0,4.0,1630,1622.0,-8.0,0,0,,,,,,
492000,2015,2,2,1,DL,1058,N555NW,ATL,MCO,1355,1421.0,26.0,20.0,1441.0,90.0,87.0,60.0,404,1541.0,7.0,1525,1548.0,23.0,0,0,,0.0,0.0,16.0,7.0,0.0
493000,2015,2,2,1,NK,175,N525NK,MSP,LAS,1455,1451.0,-4.0,24.0,1515.0,203.0,207.0,180.0,1299,1615.0,3.0,1618,1618.0,0.0,0,0,,,,,,
494000,2015,2,2,1,WN,4543,N202WN,SAT,SAN,1555,1552.0,-3.0,7.0,1559.0,185.0,181.0,172.0,1129,1651.0,2.0,1700,1653.0,-7.0,0,0,,,,,,
495000,2015,2,2,1,B6,19,N641JB,BOS,SAN,1658,,,,,391.0,,,2588,,,2029,,,0,1,B,,,,,
496000,2015,2,2,1,US,676,N576UW,PHL,LAS,1750,1827.0,37.0,42.0,1909.0,340.0,355.0,307.0,2176,2116.0,6.0,2030,2122.0,52.0,0,0,,15.0,0.0,37.0,0.0,0.0
497000,2015,2,2,1,WN,438,N956WN,PHX,TUL,1855,1858.0,3.0,9.0,1907.0,130.0,127.0,113.0,935,2200.0,5.0,2205,2205.0,0.0,0,0,,,,,,
498000,2015,2,2,1,OO,6503,N771SK,SFO,EUG,2000,1954.0,-6.0,21.0,2015.0,93.0,87.0,63.0,451,2118.0,3.0,2133,2121.0,-12.0,0,0,,,,,,
499000,2015,2,2,1,WN,2969,N434WN,SJC,SAN,2150,2153.0,3.0,8.0,2201.0,75.0,72.0,61.0,417,2302.0,3.0,2305,2305.0,0.0,0,0,,,,,,
500000,2015,2,3,2,WN,519,N751SW,MSY,DEN,605,600.0,-5.0,6.0,606.0,180.0,172.0,158.0,1062,744.0,8.0,805,752.0,-13.0,0,0,,,,,,
501000,2015,2,3,2,AA,2424,N5FCAA,LAX,DFW,702,655.0,-7.0,14.0,709.0,178.0,170.0,150.0,1235,1139.0,6.0,1200,1145.0,-15.0,0,0,,,,,,
502000,2015,2,3,2,WN,1011,N903WN,SNA,SFO,805,834.0,29.0,9.0,843.0,85.0,72.0,59.0,372,942.0,4.0,930,946.0,16.0,0,0,,14.0,0.0,0.0,2.0,0.0
503000,2015,2,3,2,DL,2531,N3741S,BOS,LAX,903,,,,,397.0,,,2611,,,1240,,,0,1,B,,,,,
504000,2015,2,3,2,WN,505,N965WN,MCO,BDL,1005,1004.0,-1.0,11.0,1015.0,150.0,147.0,131.0,1050,1226.0,5.0,1235,1231.0,-4.0,0,0,,,,,,
505000,2015,2,3,2,WN,927,N274WN,ABQ,LAX,1110,1106.0,-4.0,5.0,1111.0,125.0,118.0,98.0,677,1149.0,15.0,1215,1204.0,-11.0,0,0,,,,,,
506000,2015,2,3,2,OO,5448,N959SW,SFO,RDM,1210,1205.0,-5.0,23.0,1228.0,93.0,104.0,77.0,462,1345.0,4.0,1343,1349.0,6.0,0,0,,,,,,
507000,2015,2,3,2,DL,2378,N311US,SAN,SLC,1315,1308.0,-7.0,18.0,1326.0,111.0,110.0,86.0,626,1552.0,6.0,1606,1558.0,-8.0,0,0,,,,,,
508000,2015,2,3,2,OO,4535,N807SK,LAS,LAX,1418,1447.0,29.0,26.0,1513.0,72.0,74.0,43.0,236,1556.0,5.0,1530,1601.0,31.0,0,0,,2.0,0.0,2.0,27.0,0.0
509000,2015,2,3,2,MQ,3321,N613MQ,CWA,ORD,1520,1549.0,29.0,7.0,1556.0,68.0,132.0,53.0,212,1649.0,72.0,1628,1801.0,93.0,0,0,,64.0,0.0,0.0,29.0,0.0
510000,2015,2,3,2,WN,319,N491WN,CHS,BNA,1625,1618.0,-7.0,12.0,1630.0,95.0,93.0,77.0,439,1647.0,4.0,1700,1651.0,-9.0,0,0,,,,,,
511000,2015,2,3,2,MQ,3137,N699MQ,MLI,DFW,1725,1845.0,80.0,19.0,1904.0,142.0,151.0,108.0,691,2052.0,24.0,1947,2116.0,89.0,0,0,,9.0,0.0,65.0,15.0,0.0
512000,2015,2,3,2,AA,75,N3DBAA,IAD,LAX,1830,1816.0,-14.0,15.0,1831.0,356.0,343.0,323.0,2288,2054.0,5.0,2126,2059.0,-27.0,0,0,,,,,,
513000,2015,2,3,2,WN,2079,N461WN,OAK,BUR,1940,1936.0,-4.0,9.0,1945.0,65.0,56.0,45.0,325,2030.0,2.0,2045,2032.0,-13.0,0,0,,,,,,
514000,2015,2,3,2,WN,148,N8603F,MDW,OMA,2110,2128.0,18.0,19.0,2147.0,90.0,97.0,73.0,423,2300.0,5.0,2240,2305.0,25.0,0,0,,7.0,0.0,2.0,16.0,0.0
515000,2015,2,4,3,WN,237,N248WN,GSP,MDW,600,557.0,-3.0,13.0,610.0,110.0,118.0,99.0,562,649.0,6.0,650,655.0,5.0,0,0,,,,,,
516000,2015,2,4,3,DL,1071,N3752,MKE,MSP,700,655.0,-5.0,24.0,719.0,90.0,89.0,61.0,297,820.0,4.0,830,824.0,-6.0,0,0,,,,,,
517000,2015,2,4,3,UA,1171,N12216,IAD,ORD,800,753.0,-7.0,20.0,813.0,127.0,129.0,97.0,589,850.0,12.0,907,902.0,-5.0,0,0,,,,,,
518000,2015,2,4,3,DL,2672,N994AT,LGA,BOS,859,934.0,35.0,34.0,1008.0,82.0,84.0,37.0,184,1045.0,13.0,1021,1058.0,37.0,0,0,,18.0,0.0,1.0,18.0,0.0
519000,2015,2,4,3,DL,2673,N892AT,BOS,LGA,1000,1037.0,37.0,26.0,1103.0,77.0,83.0,45.0,184,1148.0,12.0,1117,1200.0,43.0,0,0,,6.0,0.0,1.0,36.0,0.0
520000,2015,2,4,3,US,403,N668AW,SFO,PHL,1100,1051.0,-9.0,14.0,1105.0,317.0,295.0,278.0,2521,1843.0,3.0,1917,1846.0,-31.0,0,0,,,,,,
521000,2015,2,4,3,WN,231,N734SA,CHS,BWI,1200,1157.0,-3.0,7.0,1204.0,90.0,82.0,67.0,472,1311.0,8.0,1330,1319.0,-11.0,0,0,,,,,,
522000,2015,2,4,3,UA,1511,N69819,IAH,BWI,1303,1306.0,3.0,17.0,1323.0,175.0,166.0,145.0,1235,1648.0,4.0,1658,1652.0,-6.0,0,0,,,,,,
523000,2015,2,4,3,MQ,3340,N838MQ,TYS,LGA,1400,1519.0,79.0,17.0,1536.0,112.0,122.0,94.0,647,1710.0,11.0,1552,1721.0,89.0,0,0,,10.0,0.0,0.0,79.0,0.0
524000,2015,2,4,3,WN,4874,N452WN,FNT,MCO,1505,1458.0,-7.0,6.0,1504.0,185.0,166.0,150.0,1011,1734.0,10.0,1810,1744.0,-26.0,0,0,,,,,,
525000,2015,2,4,3,US,1715,N110UW,CLT,BNA,1607,1603.0,-4.0,11.0,1614.0,82.0,76.0,59.0,328,1613.0,6.0,1629,1619.0,-10.0,0,0,,,,,,
526000,2015,2,4,3,DL,551,N937DL,FLL,LGA,1710,1705.0,-5.0,21.0,1726.0,175.0,178.0,144.0,1076,1950.0,13.0,2005,2003.0,-2.0,0,0,,,,,,
527000,2015,2,4,3,US,799,N271AY,PHL,MCO,1805,1803.0,-2.0,17.0,1820.0,161.0,156.0,134.0,861,2034.0,5.0,2046,2039.0,-7.0,0,0,,,,,,
528000,2015,2,4,3,WN,227,N367SW,MSP,STL,1910,1905.0,-5.0,9.0,1914.0,90.0,79.0,65.0,448,2019.0,5.0,2040,2024.0,-16.0,0,0,,,,,,
529000,2015,2,4,3,F9,1274,N207FR,MIA,PHL,2030,2042.0,12.0,14.0,2056.0,165.0,145.0,125.0,1013,2301.0,6.0,2315,2307.0,-8.0,0,0,,,,,,
530000,2015,2,4,3,B6,778,N536JB,LAS,BOS,2355,23.0,28.0,16.0,39.0,290.0,289.0,267.0,2381,806.0,6.0,745,812.0,27.0,0,0,,0.0,0.0,0.0,27.0,0.0
531000,2015,2,5,4,OO,5628,N792SK,RNO,SFO,625,617.0,-8.0,13.0,630.0,67.0,81.0,58.0,192,728.0,10.0,732,738.0,6.0,0,0,,,,,,
532000,2015,2,5,4,DL,2457,N3760C,ATL,BDL,725,724.0,-1.0,15.0,739.0,132.0,124.0,99.0,859,918.0,10.0,937,928.0,-9.0,0,0,,,,,,
533000,2015,2,5,4,B6,1077,N615JB,BOS,LAS,825,824.0,-1.0,36.0,900.0,369.0,364.0,322.0,2381,1122.0,6.0,1134,1128.0,-6.0,0,0,,,,,,
534000,2015,2,5,4,WN,3758,N292WN,LAX,SMF,920,920.0,0.0,6.0,926.0,80.0,69.0,59.0,373,1025.0,4.0,1040,1029.0,-11.0,0,0,,,,,,
535000,2015,2,5,4,OO,4711,N816SK,SMF,LAX,1019,1417.0,238.0,17.0,1434.0,91.0,89.0,59.0,373,1533.0,13.0,1150,1546.0,236.0,0,0,,0.0,0.0,0.0,236.0,0.0
536000,2015,2,5,4,US,621,N651AW,PHX,SNA,1120,1114.0,-6.0,15.0,1129.0,86.0,80.0,55.0,338,1124.0,10.0,1146,1134.0,-12.0,0,0,,,,,,
537000,2015,2,5,4,UA,1560,N69829,SMF,IAH,1220,1220.0,0.0,13.0,1233.0,220.0,220.0,197.0,1609,1750.0,10.0,1800,1800.0,0.0,0,0,,,,,,
538000,2015,2,5,4,AS,557,N508AS,LAX,PDX,1320,1318.0,-2.0,17.0,1335.0,140.0,133.0,113.0,834,1528.0,3.0,1540,1531.0,-9.0,0,0,,,,,,
539000,2015,2,5,4,MQ,3071,N628MQ,DFW,GSO,1420,1447.0,27.0,18.0,1505.0,144.0,146.0,125.0,999,1810.0,3.0,1744,1813.0,29.0,0,0,,2.0,0.0,0.0,22.0,5.0
540000,2015,2,5,4,MQ,3651,N653MQ,VPS,DFW,1520,,,,,140.0,,,641,,,1740,,,0,1,B,,,,,
541000,2015,2,5,4,WN,1124,N552WN,BWI,RSW,1620,1620.0,0.0,9.0,1629.0,165.0,162.0,147.0,919,1856.0,6.0,1905,1902.0,-3.0,0,0,,,,,,
542000,2015,2,5,4,WN,1811,N477WN,LAS,OAK,1720,1736.0,16.0,14.0,1750.0,90.0,88.0,70.0,407,1900.0,4.0,1850,1904.0,14.0,0,0,,,,,,
543000,2015,2,5,4,AA,1459,N3MEAA,ORD,SFO,1815,1820.0,5.0,9.0,1829.0,285.0,266.0,252.0,1846,2041.0,5.0,2100,2046.0,-14.0,0,0,,,,,,
544000,2015,2,5,4,WN,328,N956WN,DCA,HOU,1920,2059.0,99.0,10.0,2109.0,220.0,181.0,167.0,1218,2256.0,4.0,2200,2300.0,60.0,0,0,,0.0,0.0,0.0,60.0,0.0
545000,2015,2,5,4,MQ,3070,N527MQ,ORD,CMH,2035,2114.0,39.0,17.0,2131.0,72.0,72.0,46.0,296,2317.0,9.0,2247,2326.0,39.0,0,0,,0.0,0.0,39.0,0.0,0.0
546000,2015,2,5,4,AA,1062,N3GVAA,LAX,ORD,2354,2352.0,-2.0,23.0,15.0,236.0,235.0,203.0,1744,538.0,9.0,550,547.0,-3.0,0,0,,,,,,
547000,2015,2,6,5,OO,2734,N896SK,SBP,PHX,625,620.0,-5.0,10.0,630.0,100.0,87.0,66.0,509,836.0,11.0,905,847.0,-18.0,0,0,,,,,,
548000,2015,2,6,5,DL,1078,N913DL,PNS,ATL,725,718.0,-7.0,21.0,739.0,75.0,76.0,44.0,271,923.0,11.0,940,934.0,-6.0,0,0,,,,,,
549000,2015,2,6,5,EV,4299,N13970,DCA,EWR,824,822.0,-2.0,10.0,832.0,69.0,64.0,42.0,199,914.0,12.0,933,926.0,-7.0,0,0,,,,,,
550000,2015,2,6,5,US,1988,N732US,DCA,CLT,920,927.0,7.0,14.0,941.0,99.0,72.0,53.0,331,1034.0,5.0,1059,1039.0,-20.0,0,0,,,,,,
551000,2015,2,6,5,EV,6030,N13913,ORD,SBN,1018,1016.0,-2.0,12.0,1028.0,48.0,44.0,20.0,84,1148.0,12.0,1206,1200.0,-6.0,0,0,,,,,,
552000,2015,2,6,5,DL,2259,N367NW,MSP,SLC,1120,1117.0,-3.0,8.0,1125.0,171.0,160.0,145.0,991,1250.0,7.0,1311,1257.0,-14.0,0,0,,,,,,
553000,2015,2,6,5,B6,903,N562JB,BDL,RSW,1220,1225.0,5.0,13.0,1238.0,208.0,180.0,162.0,1180,1520.0,5.0,1548,1525.0,-23.0,0,0,,,,,,
554000,2015,2,6,5,US,1816,N740UW,TPA,DCA,1318,1313.0,-5.0,11.0,1324.0,127.0,132.0,108.0,814,1512.0,13.0,1525,1525.0,0.0,0,0,,,,,,
555000,2015,2,6,5,WN,4363,N426WN,SJU,MCO,1420,1414.0,-6.0,16.0,1430.0,195.0,196.0,175.0,1189,1625.0,5.0,1635,1630.0,-5.0,0,0,,,,,,
556000,2015,2,6,5,WN,313,N967WN,MDW,LGA,1520,1514.0,-6.0,12.0,1526.0,120.0,123.0,102.0,725,1808.0,9.0,1820,1817.0,-3.0,0,0,,,,,,
557000,2015,2,6,5,DL,2064,N999DN,ATL,SDF,1620,1619.0,-1.0,15.0,1634.0,79.0,78.0,58.0,321,1732.0,5.0,1739,1737.0,-2.0,0,0,,,,,,
558000,2015,2,6,5,DL,1843,N3740C,SLC,BOS,1720,1715.0,-5.0,14.0,1729.0,266.0,261.0,237.0,2105,2326.0,10.0,2346,2336.0,-10.0,0,0,,,,,,
559000,2015,2,6,5,MQ,3035,N609MQ,BWI,ORD,1811,1934.0,83.0,9.0,1943.0,149.0,149.0,105.0,622,2028.0,35.0,1940,2103.0,83.0,0,0,,0.0,0.0,79.0,4.0,0.0
560000,2015,2,6,5,DL,1283,N340NB,DEN,SLC,1920,1917.0,-3.0,27.0,1944.0,99.0,103.0,72.0,391,2056.0,4.0,2059,2100.0,1.0,0,0,,,,,,
561000,2015,2,6,5,AA,1134,N3GCAA,DFW,MIA,2035,2029.0,-6.0,10.0,2039.0,156.0,159.0,139.0,1121,2358.0,10.0,11,8.0,-3.0,0,0,,,,,,
562000,2015,2,6,5,US,497,N822AW,ANC,PHX,2330,2328.0,-2.0,10.0,2338.0,330.0,310.0,296.0,2552,634.0,4.0,700,638.0,-22.0,0,0,,,,,,
563000,2015,2,7,6,WN,2510,N7726A,SMF,LAX,645,645.0,0.0,8.0,653.0,85.0,75.0,62.0,373,755.0,5.0,810,800.0,-10.0,0,0,,,,,,
564000,2015,2,7,6,AA,15,N796AA,JFK,SFO,800,801.0,1.0,20.0,821.0,401.0,393.0,369.0,2586,1130.0,4.0,1141,1134.0,-7.0,0,0,,,,,,
565000,2015,2,7,6,US,1964,N833AW,MDT,CLT,900,857.0,-3.0,11.0,908.0,101.0,81.0,63.0,413,1011.0,7.0,1041,1018.0,-23.0,0,0,,,,,,
566000,2015,2,7,6,WN,2661,N8601C,PHX,HOU,1010,1013.0,3.0,23.0,1036.0,145.0,151.0,122.0,1020,1338.0,6.0,1335,1344.0,9.0,0,0,,,,,,
567000,2015,2,7,6,DL,2170,N383DN,LAX,SLC,1125,1116.0,-9.0,44.0,1200.0,114.0,124.0,75.0,590,1415.0,5.0,1419,1420.0,1.0,0,0,,,,,,
568000,2015,2,7,6,WN,4496,N556WN,DAL,MCI,1235,1241.0,6.0,9.0,1250.0,85.0,85.0,70.0,460,1400.0,6.0,1400,1406.0,6.0,0,0,,,,,,
569000,2015,2,7,6,AA,1263,N3LXAA,ORD,MIA,1345,1338.0,-7.0,12.0,1350.0,187.0,197.0,150.0,1197,1720.0,35.0,1752,1755.0,3.0,0,0,,,,,,
570000,2015,2,7,6,US,679,N182UW,PHX,SAN,1500,1456.0,-4.0,14.0,1510.0,70.0,71.0,53.0,304,1503.0,4.0,1510,1507.0,-3.0,0,0,,,,,,
571000,2015,2,7,6,US,751,N840AW,PHL,DFW,1615,1610.0,-5.0,17.0,1627.0,237.0,193.0,170.0,1303,1817.0,6.0,1912,1823.0,-49.0,0,0,,,,,,
572000,2015,2,7,6,WN,4504,N257WN,MDW,DAL,1735,1808.0,33.0,13.0,1821.0,150.0,132.0,103.0,793,2004.0,16.0,2005,2020.0,15.0,0,0,,0.0,0.0,2.0,13.0,0.0
573000,2015,2,7,6,AA,2248,N3LXAA,MIA,LGA,1907,1903.0,-4.0,18.0,1921.0,173.0,176.0,147.0,1096,2148.0,11.0,2200,2159.0,-1.0,0,0,,,,,,
574000,2015,2,7,6,AA,956,N3HMAA,MIA,RDU,2135,2130.0,-5.0,19.0,2149.0,128.0,128.0,104.0,700,2333.0,5.0,2343,2338.0,-5.0,0,0,,,,,,
575000,2015,2,8,7,OO,7392,N453SW,SGU,SLC,637,623.0,-14.0,16.0,639.0,68.0,68.0,47.0,272,726.0,5.0,745,731.0,-14.0,0,0,,,,,,
576000,2015,2,8,7,DL,2669,N961AT,BOS,LGA,800,801.0,1.0,64.0,905.0,79.0,121.0,52.0,184,957.0,5.0,919,1002.0,43.0,0,0,,43.0,0.0,0.0,0.0,0.0
577000,2015,2,8,7,OO,5494,N745SK,IAH,ASE,900,856.0,-4.0,19.0,915.0,172.0,163.0,141.0,913,1036.0,3.0,1052,1039.0,-13.0,0,0,,,,,,
578000,2015,2,8,7,DL,2646,N372NW,SLC,EWR,1010,1046.0,36.0,14.0,1100.0,268.0,243.0,224.0,1969,1644.0,5.0,1638,1649.0,11.0,0,0,,,,,,
579000,2015,2,8,7,AA,986,N630AA,MIA,STT,1113,1109.0,-4.0,12.0,1121.0,159.0,143.0,127.0,1107,1428.0,4.0,1452,1432.0,-20.0,0,0,,,,,,
580000,2015,2,8,7,DL,1579,N368NW,DTW,MIA,1215,1210.0,-5.0,12.0,1222.0,193.0,162.0,147.0,1145,1449.0,3.0,1528,1452.0,-36.0,0,0,,,,,,
581000,2015,2,8,7,US,629,N571UW,CLT,BOS,1315,1334.0,19.0,19.0,1353.0,127.0,150.0,119.0,728,1552.0,12.0,1522,1604.0,42.0,0,0,,42.0,0.0,0.0,0.0,0.0
582000,2015,2,8,7,AS,2,N566AS,SEA,DCA,1417,1410.0,-7.0,17.0,1427.0,282.0,272.0,251.0,2329,2138.0,4.0,2159,2142.0,-17.0,0,0,,,,,,
583000,2015,2,8,7,DL,2263,N388DA,DTW,SEA,1520,1632.0,72.0,8.0,1640.0,304.0,280.0,264.0,1927,1804.0,8.0,1724,1812.0,48.0,0,0,,0.0,0.0,48.0,0.0,0.0
584000,2015,2,8,7,DL,2064,N967DL,ATL,SDF,1620,1616.0,-4.0,19.0,1635.0,79.0,81.0,56.0,321,1731.0,6.0,1739,1737.0,-2.0,0,0,,,,,,
585000,2015,2,8,7,US,1861,N117UW,FLL,CLT,1720,1719.0,-1.0,10.0,1729.0,121.0,113.0,98.0,631,1907.0,5.0,1921,1912.0,-9.0,0,0,,,,,,
586000,2015,2,8,7,AS,815,N569AS,SEA,LIH,1815,1811.0,-4.0,12.0,1823.0,400.0,381.0,365.0,2701,2228.0,4.0,2255,2232.0,-23.0,0,0,,,,,,
587000,2015,2,8,7,MQ,2945,N905MQ,ORD,SUX,1920,1937.0,17.0,56.0,2033.0,95.0,128.0,69.0,436,2142.0,3.0,2055,2145.0,50.0,0,0,,33.0,0.0,17.0,0.0,0.0
588000,2015,2,8,7,UA,1537,N38458,MCO,ORD,2036,2027.0,-9.0,12.0,2039.0,174.0,172.0,153.0,1005,2212.0,7.0,2230,2219.0,-11.0,0,0,,,,,,
589000,2015,2,8,7,AA,272,N3DSAA,SFO,MIA,2350,15.0,25.0,21.0,36.0,310.0,,,2585,917.0,9.0,800,926.0,,1,0,,,,,,
590000,2015,2,9,1,WN,964,N8657B,HOU,DEN,625,619.0,-6.0,11.0,630.0,155.0,149.0,130.0,883,740.0,8.0,800,748.0,-12.0,0,0,,,,,,
591000,2015,2,9,1,US,503,N834AW,CMH,PHX,721,719.0,-2.0,9.0,728.0,283.0,270.0,237.0,1670,925.0,24.0,1004,949.0,-15.0,0,0,,,,,,
592000,2015,2,9,1,WN,345,N205WN,LAS,SMF,820,815.0,-5.0,12.0,827.0,90.0,88.0,70.0,397,937.0,6.0,950,943.0,-7.0,0,0,,,,,,
593000,2015,2,9,1,EV,4747,N13989,IAH,CRP,918,911.0,-7.0,14.0,925.0,63.0,63.0,44.0,201,1009.0,5.0,1021,1014.0,-7.0,0,0,,,,,,
594000,2015,2,9,1,MQ,3059,N942MQ,CVG,ORD,1015,1049.0,34.0,18.0,1107.0,85.0,110.0,54.0,265,1101.0,38.0,1040,1139.0,59.0,0,0,,25.0,0.0,0.0,34.0,0.0
595000,2015,2,9,1,UA,763,N443UA,DEN,SAN,1117,1114.0,-3.0,10.0,1124.0,147.0,147.0,135.0,853,1239.0,2.0,1244,1241.0,-3.0,0,0,,,,,,
596000,2015,2,9,1,OO,2682,N907SW,GJT,PHX,1215,1205.0,-10.0,14.0,1219.0,93.0,102.0,79.0,438,1338.0,9.0,1348,1347.0,-1.0,0,0,,,,,,
597000,2015,2,9,1,OO,3492,N215AG,SLC,SAN,1315,1305.0,-10.0,14.0,1319.0,115.0,119.0,101.0,626,1400.0,4.0,1410,1404.0,-6.0,0,0,,,,,,
598000,2015,2,9,1,OO,5394,N903SW,OTH,SFO,1419,1530.0,71.0,10.0,1540.0,89.0,77.0,63.0,412,1643.0,4.0,1548,1647.0,59.0,0,0,,0.0,0.0,0.0,59.0,0.0
599000,2015,2,9,1,UA,1600,N41135,EWR,LAX,1520,1545.0,25.0,31.0,1616.0,378.0,391.0,352.0,2454,1908.0,8.0,1838,1916.0,38.0,0,0,,13.0,0.0,25.0,0.0,0.0
600000,2015,2,9,1,OO,5620,N796SK,DFW,LAX,1619,1615.0,-4.0,16.0,1631.0,213.0,214.0,177.0,1235,1728.0,21.0,1752,1749.0,-3.0,0,0,,,,,,
601000,2015,2,9,1,DL,1843,N3764D,SLC,BOS,1720,,,,,266.0,,,2105,,,2346,,,0,1,B,,,,,
602000,2015,2,9,1,UA,1749,N73860,MCO,SFO,1813,1819.0,6.0,10.0,1829.0,368.0,338.0,322.0,2446,2051.0,6.0,2121,2057.0,-24.0,0,0,,,,,,
603000,2015,2,9,1,WN,677,N260WN,RNO,LAS,1920,1915.0,-5.0,8.0,1923.0,70.0,69.0,54.0,345,2017.0,7.0,2030,2024.0,-6.0,0,0,,,,,,
604000,2015,2,9,1,WN,4127,N214WN,ATL,MSP,2040,2137.0,57.0,12.0,2149.0,170.0,157.0,142.0,907,2311.0,3.0,2230,2314.0,44.0,0,0,,0.0,0.0,27.0,17.0,0.0
